"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","Subject_ID",12090959019.28,12090959019.28,12090959019.28,87538545.9994989,11919383469.121,12262534569.439,12090959019.28,12090959019.28,12090959019.28,87538545.9994989,11919383469.121,12262534569.439,0,0,0,0,0,0
"2","Incident DM",2964916.975,2863705.13875,3066128.81125,195295.408492946,2582137.97435383,3347695.97564617,2304821.68,2233847.8925,2375795.4675,154374.777315798,2002247.11646104,2607396.24353896,-660095.295,-832280.91875,-487909.67125,285657.995642657,-1219984.96645961,-100205.623540393
"3","Incident CHD",2175130.67,2148197.9895,2202063.3505,46153.6136904976,2084669.58716663,2265591.75283338,2194811.12,2186675.5765,2202946.6635,25979.5411785972,2143891.21928995,2245731.02071005,19680.45,883.312999999999,38477.587,39325.1815347193,-57396.9058080499,96757.8058080499
"4","Incident Stroke",2154890.84,2150840.287,2158941.393,31153.8990232148,2093829.1979145,2215952.4820855,2108881.775,2087294.82525,2130468.72475,44182.7893637239,2022283.5078471,2195480.0421529,-46009.065,-63545.46175,-28472.66825,45479.2093306455,-135148.315288065,43130.1852880652
"5","Incident First CHD",1542000.805,1521429.13925,1562572.47075,37031.0332877594,1469419.97975599,1614581.63024401,1574932.815,1555701.76075,1594163.86925,35393.9037469594,1505560.76365596,1644304.86634404,32932.01,31591.3985,34272.6215,27340.8035111674,-20655.964881888,86519.984881888
"6","Incident First Stroke",1521760.975,1511349.40725,1532172.54275,25923.6549084884,1470950.61137936,1572571.33862064,1489003.47,1478512.031,1499494.909,25986.1166094999,1438070.68144538,1539936.25855462,-32757.505,-32837.37625,-32677.63375,27264.7503137504,-86196.4156149509,20681.4056149509
"7","Incident Recurrent CHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Incident Recurrent Stroke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Incident CHD+Stroke",139540.855,134651.19075,144430.51925,11432.4000481184,117133.350905688,161948.359094312,150615.23,144542.2125,156688.2475,12863.1899985071,125403.377602926,175827.082397074,11074.375,111.693249999999,22037.05675,18722.7168706116,-25622.1500663988,47770.9000663988
"10","Incident Stroke+CHD",493589.01,482338.331,504839.689,22676.1139337175,449143.826689914,538034.193310086,469263.075,452094.54675,486431.60325,29624.6729709495,411198.715976939,527327.434023061,-24325.935,-52745.14225,4093.27225,45373.2194189214,-113257.445061086,64605.5750610859
