"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","Subject_ID",12090959019.28,12090959019.28,12090959019.28,87538545.9994989,11919383469.121,12262534569.439,12090959019.28,12090959019.28,12090959019.28,87538545.9994989,11919383469.121,12262534569.439,0,0,0,0,0,0
"2","Incident DM",323401.98,312131.4175,334672.5425,20859.2760070903,282517.799026103,364286.160973897,325448,314284.018,336611.982,20756.7339234492,284764.80151004,366131.19848996,2046.02,1939.4395,2152.6005,1850.49406158937,-1580.94836071518,5672.98836071518
"3","Incident CHD",1433096.465,1431725.47725,1434467.45275,20776.0958416931,1392375.31715028,1473817.61284972,1488577.5,1487352.152,1489802.848,20833.0612581945,1447744.69993394,1529410.30006606,55481.035,52884.69925,58077.37075,26618.175596872,3309.41083013081,107652.659169869
"4","Incident Stroke",1457291.105,1447350.16725,1467232.04275,25464.6874775918,1407380.31754392,1507201.89245608,1401774.215,1389615.40725,1413933.02275,27427.2147503766,1348016.87408926,1455531.55591074,-55516.89,-57734.76,-53299.02,26557.1816349747,-107568.96600455,-3464.81399544959
"5","Incident First CHD",1433096.465,1431725.47725,1434467.45275,20776.0958416931,1392375.31715028,1473817.61284972,1488577.5,1487352.152,1489802.848,20833.0612581945,1447744.69993394,1529410.30006606,55481.035,52884.69925,58077.37075,26618.175596872,3309.41083013081,107652.659169869
"6","Incident First Stroke",1457291.105,1447350.16725,1467232.04275,25464.6874775918,1407380.31754392,1507201.89245608,1401774.215,1389615.40725,1413933.02275,27427.2147503766,1348016.87408926,1455531.55591074,-55516.89,-57734.76,-53299.02,26557.1816349747,-107568.96600455,-3464.81399544959
"7","Incident Recurrent CHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Incident Recurrent Stroke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Death",57758.255,55598.52975,59917.98025,5688.48763636219,46608.8192327301,68907.6907672699,55885.455,53624.23175,58146.67825,5685.40453045068,44742.0621203167,67028.8478796833,-1872.8,-1974.298,-1771.302,1065.73959941236,-3961.64961484822,216.049614848216
"10","CHD_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Stroke_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","DM_Death",69.465,3.47324999999999,135.45675,138.934677388623,-202.846967681701,341.776967681701,69.465,3.47324999999999,135.45675,138.934677388623,-202.846967681701,341.776967681701,0,0,0,0,0,0
"13","Non_DM_Non_CVD_Death",57688.79,55463.073,59914.507,5743.90624253672,46430.733764628,68946.846235372,55815.99,53488.775,58143.205,5743.43820890492,44558.8511105464,67073.1288894537,-1872.8,-1974.298,-1771.302,1065.73959941236,-3961.64961484822,216.049614848216
"14","Life Years",3272903.08,3270990.9295,3274815.2305,5448.6406963262,3262223.7442352,3283582.4157648,3272759.005,3270206.10325,3275311.90675,6012.15316519181,3260975.18479622,3284542.82520378,-144.075,-784.82625,496.67625,1141.93381693037,-2382.26528118353,2094.11528118353
"15","effect_disc",5721136.90473713,5616644.40547318,5825629.40400107,155644.675774032,5416073.34022003,6026200.46925423,5726867.38524953,5622278.3943065,5831456.37619256,155787.793695679,5421523.309606,6032211.46089306,5730.48051240175,5633.98883331965,5826.97219148385,2973.56466202773,-97.7062251725901,11558.6672499761
"16","HCE_disc",20781808870.0141,20454561334.4091,21109056405.6191,501018865.168703,19799811894.2835,21763805845.7448,21028375019.5063,20716996657.8334,21339753381.1792,478247714.262233,20091009499.5523,21965740539.4602,246566149.492146,230696975.560075,262435323.424216,118166854.547895,14959114.5782705,478173184.406021
"17","Prod_cost",40150127060.0657,37600792711.3125,42699461408.819,3805334121.92802,32691672181.0868,47608581939.0447,39511121448.8714,37046961384.5018,41975281513.241,3678712047.11574,32300845836.5246,46721397061.2183,-639005611.194312,-724179895.577911,-553831326.810713,331929480.104331,-1289587392.1988,11576169.8101763
"18","Prod_cost_disc",40150127060.0657,37600792711.3125,42699461408.819,3805334121.92802,32691672181.0868,47608581939.0447,39511121448.8714,37046961384.5018,41975281513.241,3678712047.11574,32300845836.5246,46721397061.2183,-639005611.194312,-724179895.577911,-553831326.810713,331929480.104331,-1289587392.1988,11576169.8101763
"19","Policy_cost",0,0,0,0,0,0,245768291563.408,154284556753.917,337252026372.899,136196711366.334,-21177262714.6071,512713845841.423,245768291563.408,154284556753.917,337252026372.899,136196711366.334,-21177262714.6071,512713845841.423
"20","Total_cost_health",20781808870.0141,20454561334.4091,21109056405.6191,501018865.168703,19799811894.2835,21763805845.7448,266796666582.914,175001553411.75,358591779754.079,136660400883.386,-1057719148.52242,534651052314.351,246014857712.9,154546992077.341,337482723348.459,136173136196.943,-20884489233.1085,512914204658.909
"21","Total_cost_societ",60931935930.0798,58709849116.9316,63154022743.2281,3319566696.87055,54425585204.2136,67438286655.9461,306307788031.786,216976834924.991,395638741138.58,132992281518.418,45642916255.6861,566972659807.886,245375852101.706,153822812181.763,336928892021.649,136300025706.632,-21772198283.292,512523902486.704
